year,state,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,loss_ratio,net_benefit,farmer_premium,benefit_by_pol,benefit_by_acre
2021,AL,7816,1430373,678875036,86191579,57300465,47146328,23.668365,18255214,28891114,2335.621034,12.76255494
2021,AR,16801,5527268,2268100789,188058440,129737422,221571854,34.874838,163250836,58321018,9716.73329,29.53553835
2021,AZ,1467,30274958,513996581,101586512,55313919,132872333,50.182369,86599740,46272593,59031.86094,2.860441293
2021,CA,22889,11250771,8798758385,459777145,271616234,546337874,133.761895,358176963,188160911,15648.43213,31.83577046
2021,CO,15271,12925328,1313674547,229519594,137208100,185106453,54.545584,92794959,92311494,6076.547639,7.179311736
2021,CT,244,19242,39858446,9717158,6439985,20288503,18.320778,17011330,3277173,69718.56557,884.0728614
2021,DE,1469,313122,143580879,11744959,7174267,1982609,8.514877,-2588083,4570692,-1761.799183,-8.26541412
2021,FL,6341,2804360,1505763680,147525993,85984366,112756222,35.025373,51214595,61541627,8076.737896,18.26248948
2021,GA,18385,2760877,1883297097,222630049,138903270,156389609,33.662209,72662830,83726779,3952.288822,26.31874944
2021,HI,116,16233,46238987,903217,533425,1673152,6.770846,1303360,369792,11235.86207,80.29076572
2021,IA,124291,22012496,14861574453,1053122621,565207020,114473664,16.421464,-373441937,487915601,-3004.577459,-16.96499738
2021,ID,5685,7055138,1129583066,80440519,43336343,175158485,111.358539,138054309,37104176,24283.95937,19.56791051
2021,IL,126232,19836980,13177979241,978514954,567626151,126251990,19.48504,-284636813,410888803,-2254.8705,-14.3487977
2021,IN,49733,9743033,6217230008,525646731,303131428,66268543,14.643838,-156246760,222515303,-3141.711942,-16.03676802
2021,KS,113338,21682080,5767955994,874529757,549988458,284559864,29.116885,-39981435,324541299,-352.7628421,-1.843985217
2021,KY,16475,3469401,1896897414,205520829,133006730,74992454,42.30994,2478355,72514099,150.4312595,0.714346655
2021,LA,8890,2829373,1411185891,115950434,79785808,123768360,48.096656,87603734,36164626,9854.188301,30.96224287
2021,MA,458,26719,51651691,4821093,3051162,10437429,34.83568,8667498,1769931,18924.66812,324.3945507
2021,MD,4193,835219,379131202,36509059,23495711,7285761,40.375702,-5727587,13013348,-1365.987837,-6.857587052
