code,name,display_name
380,Windbreak/Shelterbelt Establishment and Renovation,Windbreak/Shelterbelt Establishment and Renovation (380)
381,Silvopasture,Silvopasture (381)
382,Fence,Fence (382)
383,Fuel Break,Fuel Break (383)
384,Woody Residue Treatment,Woody Residue Treatment (384)
386,Field Border,Field Border (386)
388,Irrigation Field Ditch,Irrigation Field Ditch (388)
390,Riparian Herbaceous Cover,Riparian Herbaceous Cover (390)
391,Riparian Forest Buffer,Riparian Forest Buffer (391)
393,Filter Strip,Filter Strip (393)
394,Firebreak,Firebreak (394)
395,Stream Habitat Improvement and Management,Stream Habitat Improvement and Management (395)
396,Aquatic Organism Passage,Aquatic Organism Passage (396)
397,Aquaculture Pond,Aquaculture Pond (397)
398,Fish Raceway or Tank,Fish Raceway or Tank (398)
399,Fishpond Management,Fishpond Management (399)
400,Bivalve Aquaculture Gear and Biofouling Control,Bivalve Aquaculture Gear and Biofouling Control (400)
402,Dam,Dam (402)
410,Grade Stabilization Structure,Grade Stabilization Structure (410)
412,Grassed Waterway,Grassed Waterway (412)
420,Wildlife Habitat Planting,Wildlife Habitat Planting (420)
422,Hedgerow Planting,Hedgerow Planting (422)
423,Hillside Ditch,Hillside Ditch (423)
428,Irrigation Ditch Lining,Irrigation Ditch Lining (428)
